15535.0,"[15488.0, 0.0, 2.0, 15535.0, 0.05, 1.59422, 0.0, 0.0, 0.0, 0.0]"
15536.0,"[15488.0, 4080.0, 0.0, 15536.0, 0.05, 1.56806, 0.0, 0.0, -0.75, 1010.1999999999999]"
15538.0,"[15489.0, 120.0, 0.0, 15538.0, 0.05, 1.56788, 0.0, 0.0, -0.15, 1010.8]"
15542.0,"[15490.0, 0.0, 2.0, 15542.0, 0.05, 1.53908, 0.0, 0.0, 0.0, 0.0]"
15543.0,"[15490.0, 0.0, 2.0, 15543.0, 0.05, 1.589, 0.0, 0.0, 0.0, 0.0]"
15544.0,"[15490.0, 44040.0, 0.0, 15544.0, 0.05, 1.55554, 0.0, 0.0, -0.7, 1010.2499999999999]"
15546.0,"[15491.0, 120.0, 0.0, 15546.0, 0.05, 1.54771, 0.0, 0.0, -0.55, 1010.4]"
15550.0,"[15492.0, 0.0, 2.0, 15550.0, 0.05, 1.51554, 0.0, 0.0, 0.0, 0.0]"
15551.0,"[15492.0, 0.0, 2.0, 15551.0, 0.05, 1.56546, 0.0, 0.0, 0.0, 0.0]"
15552.0,"[15499.0, 120.0, 0.0, 15552.0, 0.05, 1.55262, 0.0, 0.0, 0.05, 1014.9]"
15556.0,"[15495.0, 60.0, 2.0, 15556.0, 0.05, 1.51074, 0.0, 0.0, 0.0, 0.0]"
15429.0,"[15393.0, 60.0, 0.0, 15429.0, 0.05, 1.5666, 0.0, 0.0, -0.75, 999.25]"
15430.0,"[15393.0, 60.0, 2.0, 15430.0, 0.05, 1.59172, 0.0, 0.0, 0.0, 0.0]"
15431.0,"[15393.0, 60.0, 2.0, 15431.0, 0.05, 1.59172, 0.0, 0.0, 0.0, 0.0]"
15432.0,"[15393.0, 60.0, 2.0, 15432.0, 0.05, 1.59172, 0.0, 0.0, 0.0, 0.0]"
15433.0,"[15394.0, 120.0, 0.0, 15433.0, 0.05, 1.57406, 0.0, 0.0, -0.55, 998.7]"
15439.0,"[15397.0, 0.0, 2.0, 15439.0, 0.05, 1.56348, 0.0, 0.0, 0.0, 0.0]"
15440.0,"[15397.0, 0.0, 2.0, 15440.0, 0.05, 1.6134, 0.0, 0.0, 0.0, 0.0]"
15441.0,"[15448.0, 41520.0, 0.0, 15441.0, 0.05, 1.5969, 0.0, 0.0, 0.5, 999.75]"
15455.0,"[15449.0, 0.0, 2.0, 15455.0, 0.05, 1.57729, 0.0, 0.0, 0.0, 0.0]"
15456.0,"[15449.0, 0.0, 2.0, 15456.0, 0.05, 1.62721, 0.0, 0.0, 0.0, 0.0]"
15457.0,"[15450.0, 41520.0, 0.0, 15457.0, 0.05, 1.61138, 0.0, 0.0, 1.15, 1000.9]"
15463.0,"[15453.0, 0.0, 2.0, 15463.0, 0.05, 1.58717, 0.0, 0.0, 0.0, 0.0]"
15464.0,"[15453.0, 0.0, 2.0, 15464.0, 0.05, 1.63709, 0.0, 0.0, 0.0, 0.0]"
15465.0,"[15453.0, 120.0, 0.0, 15465.0, 0.05, 1.61268, 0.0, 0.0, 2.6, 1003.5]"
15467.0,"[15464.0, 56640.0, 0.0, 15467.0, 0.05, 1.61891, 0.0, 0.0, -0.55, 1002.95]"
15532.0,"[15502.0, 60.0, 0.0, 15532.0, 0.05, 1.55103, 0.0, 0.0, -0.75, 999.25]"
15533.0,"[15502.0, 60.0, 2.0, 15533.0, 0.05, 1.57609, 0.0, 0.0, 0.0, 0.0]"
15534.0,"[15502.0, 60.0, 2.0, 15534.0, 0.05, 1.57609, 0.0, 0.0, 0.0, 0.0]"
15535.0,"[15502.0, 60.0, 2.0, 15535.0, 0.05, 1.57609, 0.0, 0.0, 0.0, 0.0]"
15536.0,"[15503.0, 0.0, 2.0, 15536.0, 0.05, 1.5235, 0.0, 0.0, 0.0, 0.0]"
15537.0,"[15503.0, 0.0, 2.0, 15537.0, 0.05, 1.57342, 0.0, 0.0, 0.0, 0.0]"
15538.0,"[15596.0, 70380.0, 0.0, 15538.0, 0.05, 1.61446, 0.0, 0.0, 11.05, 1010.3]"
15810.0,"[15757.0, 0.0, 2.0, 15810.0, 0.05, 1.49841, 0.0, 0.0, 0.0, 0.0]"
15811.0,"[15757.0, 0.0, 2.0, 15811.0, 0.05, 1.54833, 0.0, 0.0, 0.0, 0.0]"
15812.0,"[15757.0, 120.0, 0.0, 15812.0, 0.05, 1.5234, 0.0, 0.0, -0.45, 1002.6999999999999]"
15814.0,"[15758.0, 22020.0, 0.0, 15814.0, 0.05, 1.5314, 0.0, 0.0, 10.2, 1013.35]"
15784.0,"[15744.0, 0.0, 2.0, 15784.0, 0.05, 1.54657, 0.0, 0.0, 0.0, 0.0]"
15785.0,"[15744.0, 0.0, 2.0, 15785.0, 0.05, 1.59649, 0.0, 0.0, 0.0, 0.0]"
15786.0,"[15744.0, 54300.0, 0.0, 15786.0, 0.05, 1.58146, 0.0, 0.0, -0.7, 1001.9499999999999]"
15796.0,"[15756.0, 76080.0, 0.0, 15796.0, 0.05, 1.52231, 0.0, 0.0, 0.5, 1003.15]"
15794.0,"[15748.0, 0.0, 2.0, 15794.0, 0.05, 1.54089, 0.0, 0.0, 0.0, 0.0]"
15790.0,"[15747.0, 120.0, 0.0, 15790.0, 0.05, 1.57978, 0.0, 0.0, -0.45, 1002.1999999999999]"
15795.0,"[15748.0, 0.0, 2.0, 15795.0, 0.05, 1.59081, 0.0, 0.0, 0.0, 0.0]"
15634.0,"[15597.0, 60.0, 0.0, 15634.0, 0.05, 1.6154, 0.0, 0.0, -0.75, 999.25]"
15635.0,"[15597.0, 60.0, 2.0, 15635.0, 0.05, 1.64039, 0.0, 0.0, 0.0, 0.0]"
15636.0,"[15597.0, 60.0, 2.0, 15636.0, 0.05, 1.64039, 0.0, 0.0, 0.0, 0.0]"
15637.0,"[15597.0, 60.0, 2.0, 15637.0, 0.05, 1.64039, 0.0, 0.0, 0.0, 0.0]"
15640.0,"[15600.0, 0.0, 2.0, 15640.0, 0.05, 1.59719, 0.0, 0.0, 0.0, 0.0]"
15641.0,"[15600.0, 0.0, 2.0, 15641.0, 0.05, 1.64711, 0.0, 0.0, 0.0, 0.0]"
15642.0,"[15600.0, 120.0, 0.0, 15642.0, 0.05, 1.62207, 0.0, 0.0, -0.4, 998.85]"
15644.0,"[15743.0, 43620.0, 0.0, 15644.0, 0.05, 1.57192, 0.0, 0.0, 3.4, 1002.65]"
